Year,Pais,Region,Consumo_gob,Crecimiento_eco,Regulacion_eco,Libertad_exp,Dinero_sol
2021,Bulgaria,Eastern Europe,4.55294117647059,8.86252032379461,7.01635831545216,6.19867777777778,9.39812334166951
2021,Burkina Faso,Sub-Saharan Africa,5.35145717649846,8.72306396267963,6.81068312013712,6.62103202333136,6.66750921676537
2021,Burundi,Sub-Saharan Africa,3.20294117647059,6.62723270733581,5.5086873578052,1.91541111111111,8.05683842013869
2021,Cabo Verde,Sub-Saharan Africa,3.56764705882353,9.39608730378321,6.74392341583616,9.28279166666667,9.63603766339154
2021,Cambodia,South Asia,8.67647058823529,7.82260906254614,5.65628763939949,2.96195555555556,9.13112714834073
2021,Cameroon,Sub-Saharan Africa,7.61470588235294,9.51630608265138,6.03394915306665,2.12569430598435,7.15828324208131
2021,Canada,North America,3.39117647058824,8.54090566456136,7.99446895443663,9.77579166666667,9.1767550845599
2021,Central African Republic,Sub-Saharan Africa,9.08823529411765,8.18736438571508,4.8778728648072,3.97747813590477,6.59873284765988
2021,Chad,Sub-Saharan Africa,10,9.99073193233908,4.62796508002522,3.85672425045372,6.96728924510503
2021,Chile,Latin America & the Caribbean,6.15588235294118,9.10935792713306,6.73132253448507,9.67,9.26710225020491
2021,China,East Asia,3.14117647058824,9.80896540730999,5.62076031928531,1.81756502564841,8.4875582031976
2021,Colombia,Latin America & the Caribbean,6.32352941176471,9.05525146517823,6.53962624135954,6.75583103467225,8.14439536355028
2021,Comoros,Sub-Saharan Africa,8.97941176470588,9.27620213912678,6.10122283211443,4.34491666666667,6.74346622673171
2021,"Congo, Dem. Rep.",Sub-Saharan Africa,8.4,7.25865262736495,5.02372213100526,4.72443825852194,6.0280469559257
2021,"Congo, Rep.",Sub-Saharan Africa,3.05294117647059,8.51738025028174,4.5321648521489,3.87985412843424,5.3073752071957
2021,Costa Rica,Latin America & the Caribbean,5.69411764705882,9.4923476632376,6.73200565897808,9.7774,9.70150922102184
2021,Cote d'Ivoire,Sub-Saharan Africa,7.91470588235294,9.20671413878421,6.41207028014956,6.10547777777778,6.9353142105936
2021,Croatia,Eastern Europe,3.55882352941177,8.93349581866388,6.83217811200005,7.40417777777778,9.52046729548831
2021,Cyprus,Eastern Europe,4.45882352941177,7.05863525342384,7.29447241944425,8.57704166666667,8.99509333984571
2021,Czech Republic,Eastern Europe,2.30882352941177,8.90824653308554,7.36995446486189,8.23254444444445,9.419247020293
2021,Denmark,Western Europe,1.54117647058824,9.2615276769736,8.38643214422737,9.26767381657408,9.62660331979122
2021,Djibouti,Sub-Saharan Africa,4.21122169042893,0,6.83074626253665,2.6395,7.25523733376515
2021,Dominican Republic,Latin America & the Caribbean,7.43529411764706,8.82342821728863,6.00282379418156,7.06399087884383,9.09688739221602
2021,Ecuador,Latin America & the Caribbean,5.90294117647059,9.85940080040465,5.95986435342022,7.4329687563439,8.55705095453662
2021,"Egypt, Arab Rep.",Middle East & North Africa,9.35588235294118,8.05011933950565,4.72941584706257,2.37745555555556,8.4154902795012
2021,El Salvador,Latin America & the Caribbean,6.15882352941177,8.69385565902348,5.8017570306962,6.0377,9.27031164974976
2021,Estonia,Eastern Europe,3.19117647058824,7.52187978837482,8.17655744240112,9.65904444444444,8.91383456823375
2021,Eswatini,Sub-Saharan Africa,5.08235294117647,9.25417315414911,5.5197607646325,3.76035555555556,7.78185641771452
2021,Ethiopia,Sub-Saharan Africa,8.55882352941176,8.02498966801684,6.04724946212247,3.73918480842192,6.32196835900371
2021,Fiji,Oceania,4.89940101366918,9.56601766844655,7.7436710130321,6.555375,7.10926974266404
2021,Finland,Western Europe,2.24411764705882,7.10009278838686,8.1766668563708,9.78341666666667,9.10021416426709
2021,France,Western Europe,2.49117647058824,7.05180260586388,7.27661293139939,8.99233333333333,9.10703216279326
2021,Gabon,Sub-Saharan Africa,4.21176470588235,9.63658675540343,5.36923329856927,5.16196666666667,6.10275657250961
2021,"Gambia, The",Sub-Saharan Africa,8.50882352941176,8.69923311945387,7.05377698259778,7.10616666666667,9.19059966510301
2021,Georgia,Caucasus & Central Asia,7.54117647058824,7.7819223904359,7.39850799654062,6.71885661711912,8.73871548094632
2021,Germany,Western Europe,2.64411764705882,7.16768631671988,7.73139627043882,9.690875,9.06818680449879
2021,Ghana,Sub-Saharan Africa,8.10882352941177,7.7743904685753,6.10887986595437,8.05288901279829,6.28840278417044
2021,Greece,Eastern Europe,4.66176470588235,6.7776490800487,6.324684168543,7.63431576435855,9.05563069991659
2021,Guatemala,Latin America & the Caribbean,8.34705882352941,8.80156578650296,6.6999086115252,5.66733667389141,9.44495132198888
2021,Guinea,Sub-Saharan Africa,6.03235294117647,7.99575809721836,5.89127980710476,5.3575,6.99963177171405
